gE/AAgAw/zkT;AA Bezirk;Organisationseinheit / Empfänger;Anschrift;PLZ;Ort
Jobcenter Schwabach;Nürnberg;;Nördlingerstr. 3;91126;Schwabach
Jobcenter Freyung-Grafenau;Passau;;Bahnhofstr. 3;94065;Waldkirchen
Jobcenter Passau Land;Passau;;Innstr. 30;94032;Passau
Jobcenter Passau Stadt;Passau;;Innstr. 30;94032;Passau
Jobcenter Altötting;Pfarrkirchen;;Gabriel-Mayer-Str. 8a;84503;Altötting
Jobcenter Mühldorf/Inn ;Pfarrkirchen;;Am Kellerberg 11;84453;Mühldorf a.Inn
Jobcenter Landkreis Rottal-Inn  ;Pfarrkirchen;;Ringstr. 23;84347;Pfarrkirchen
Jobcenter Landkreis Kehlheim;Regensburg;;Münchner Str. 2a;93326;Abensberg
Jobcenter Landkreis Kehlheim;Regensburg;;Ledergasse 2b;93309;Kehlheim
Jobcenter Landkreis Neumarkt;Regensburg;;Dr.-Grundler-Str.3;92318;Neumarkt i. d. Opf.
Jobcenter Landkreis Regensburg;Regensburg;;Galgenbergstr. 24;93053;Regensburg
Jobcenter Regensburg Stadt;Regensburg;;Im Gewerbepark D 83;93059;Regensburg
Jobcenter Bad Tölz-Wolfratshausen;Rosenheim;;Prof.-Max-Lange-Platz 14;83646;Bad Tölz
Landratsamt Miesbach/Amt für Arbeit und Soziales;Rosenheim;;Rosenheimer Str. 3 Haus 1;83714;Miesbach
Jobcenter Landkreis Rosenheim;Rosenheim;;Möslstr. 25;83024;Rosenheim
Jobcenter Rosenheim Stadt;Rosenheim;;Reichenbachstr. 8;83022;Rosenheim
Jobcenter Landkreis Amberg-Sulzbach und die Stadt Amberg;Schwandorf;;Jahnstr. 4;92224;Amberg
Jobcenter Cham  ;Schwandorf;;Arbeitsamtstr. 8;93413;Cham
Jobcenter Landkreis Schwandorf  ;Schwandorf;;Wackersdorfer Str. 4;92421;Schwandorf
Jobcenter im Landkreis Bad Kissingen;Schweinfurt;;Columbiastr. 10;97688;Bad Kissingen
Jobcenter Haßberge;Schweinfurt;;Promenade 17;97437;Haßfurt
Jobcenter im Landkreis Rhön Grabfeld;Schweinfurt;;Roßmarktstr. 40;97616;Bad Neustadt
Jobcenter Landkreis Schweinfurt ;Schweinfurt;;Komacherstr. 6;97421;Schweinfurt
Jobcenter Schweinfurt;Schweinfurt;;Friedrich-Rückert-Bau               Martin-Luther-Platz 20;97421;Schweinfurt
Jobcenter Berchtesgadener Land ;Traunstein;;Bahnhofstr. 22;83435;Bad Reichenhall
Jobcenter Traunstein ;Traunstein;;Chiemseestr. 35;83278;Traunstein
Jobcenter Weiden;Weiden;;Weigelstr. 24;92633;Weiden
Jobcenter Tirschenreuth;Weiden;;Bahnhofstr. 49;95643;Tirschenreuth
Jobcenter Landkreis Garmisch Partenkirchen;Weilheim;;Bahnhofstr. 35a;82467;Garmisch-Partenkirchen
Jobcenter Landsberg am Lech ;Weilheim;;Kohlstattstr. 8;86899;Landsberg am Lech
Jobcenter Landkreis Weilheim-Schongau ;Weilheim;;Karwendelstr. 1;82362;Weilheim
Jobcenter Roth;Weißenburg;;Hilpoltsteiner Str. 30a;91154;Roth
Jobcenter Weißenburg-Gunzenhausen;Weißenburg;;Schwärzgasse 1;91781;Weißenburg
Jobcenter Kitzingen;Würzburg;;Alte Poststr. 6A;97316;Kitzingen
Jobcenter Main-Spessart;Würzburg;;Marktplatz 8;97753;Karlstadt
Jobcenter;Würzburg;;Zeppelinstr. 15;97074;Würzburg
Jobcenter Würzburg;Würzburg;;Bahnhofstr. 7;97070;Würzburg
